Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,140.59,138.93,141.19,138.28,2060000.0,-0.003,ACN
2019-01-03,135.79,139.13,139.57,135.58,2800000.0,-0.0341,ACN
2019-01-04,141.07,138.12,141.34,137.5,2300000.0,0.038900000000000004,ACN
2019-01-07,141.56,140.83,142.37,139.85,2320000.0,0.0034999999999999996,ACN
2019-01-08,145.14,144.63,146.81,142.69,2650000.0,0.0253,ACN
2019-01-09,145.87,145.26,147.2,145.14,2180000.0,0.005,ACN
2019-01-10,147.02,144.66,147.13,144.27,1840000.0,0.0079,ACN
2019-01-11,146.23,143.01,147.43,143.01,2000000.0,-0.0054,ACN
2019-01-14,144.93,144.78,145.66,144.15,1480000.0,-0.0089,ACN
2019-01-15,146.89,145.08,147.5,145.01,1540000.0,0.013500000000000002,ACN
2019-01-16,147.88,148.78,149.46,147.72,2680000.0,0.0067,ACN
2019-01-17,149.12,147.24,149.62,147.24,1810000.0,0.0084,ACN
2019-01-18,150.45,150.0,151.4,149.11,2470000.0,0.0089,ACN
2019-01-22,148.97,149.5,150.4,147.91,1950000.0,-0.0098,ACN
2019-01-23,148.42,149.86,150.93,147.44,1990000.0,-0.0037,ACN
2019-01-24,150.15,148.81,150.31,148.67,1950000.0,0.011699999999999999,ACN
2019-01-25,151.85,151.58,152.22,150.96,1740000.0,0.0113,ACN
2019-01-28,152.24,150.72,152.24,150.2,2049999.9999999998,0.0026,ACN
2019-01-29,152.02,152.02,152.41,151.11,1960000.0,-0.0014000000000000002,ACN
2019-01-30,154.09,152.52,154.5,151.84,1680000.0,0.013600000000000001,ACN
2019-01-31,153.55,153.5,154.9,153.12,2120000.0,-0.0034999999999999996,ACN
2019-02-01,154.74,154.25,155.22,153.66,1960000.0,0.0077,ACN
2019-02-04,156.55,155.0,156.64,154.23,1670000.0,0.011699999999999999,ACN
2019-02-05,157.32,156.75,157.41,156.55,1990000.0,0.0049,ACN
2019-02-06,157.16,157.15,158.03,156.89,1380000.0,-0.001,ACN
2019-02-07,155.18,155.85,156.0,154.19,2110000.0,-0.0126,ACN
2019-02-08,155.59,154.15,155.95,154.02,2300000.0,0.0026,ACN
2019-02-11,155.32,156.0,157.3,155.02,1410000.0,-0.0017000000000000001,ACN
2019-02-12,156.63,156.03,157.03,155.64,1860000.0,0.0084,ACN
2019-02-13,158.03,157.0,158.54,156.86,1950000.0,0.0089,ACN
2019-02-14,157.85,157.72,158.84,156.74,1550000.0,-0.0011,ACN
2019-02-15,159.23,159.08,159.33,158.23,2400000.0,0.0087,ACN
2019-02-19,159.48,158.61,160.1,158.19,1660000.0,0.0016,ACN
2019-02-20,159.71,159.78,160.12,158.43,1940000.0,0.0014000000000000002,ACN
2019-02-21,159.53,159.58,160.05,158.88,1840000.0,-0.0011,ACN
2019-02-22,161.5,160.18,161.83,159.96,1680000.0,0.0123,ACN
2019-02-25,161.67,162.06,162.41,161.53,1370000.0,0.0011,ACN
2019-02-26,161.34,161.62,162.5,161.03,1530000.0,-0.002,ACN
2019-02-27,160.63,160.85,161.26,160.13,1540000.0,-0.0044,ACN
2019-02-28,161.38,160.9,162.0,160.39,2020000.0,0.004699999999999999,ACN
2019-03-01,164.2,163.0,164.9,162.68,2230000.0,0.0175,ACN
2019-03-04,162.82,164.75,164.92,160.91,1900000.0,-0.0084,ACN
2019-03-05,163.67,162.97,163.91,162.52,1560000.0,0.0052,ACN
2019-03-06,162.39,164.06,164.06,162.34,1730000.0,-0.0078000000000000005,ACN
2019-03-07,161.85,162.21,162.45,160.78,1650000.0,-0.0033,ACN
2019-03-08,161.69,161.0,161.81,160.5,1460000.0,-0.001,ACN
2019-03-11,163.94,162.48,164.07,161.99,1240000.0,0.0139,ACN
2019-03-12,163.99,164.49,165.82,163.72,2350000.0,0.0003,ACN
2019-03-13,164.11,164.97,165.28,163.66,2100000.0,0.0007000000000000001,ACN
2019-03-14,164.82,164.46,164.93,164.11,2270000.0,0.0043,ACN
2019-03-15,166.39,165.0,167.04,164.9,3740000.0,0.0095,ACN
2019-03-18,166.43,166.75,167.44,165.14,1590000.0,0.0002,ACN
2019-03-19,166.2,167.11,167.63,165.53,1950000.0,-0.0014000000000000002,ACN
2019-03-20,166.27,166.4,167.26,164.81,2130000.0,0.0004,ACN
2019-03-21,168.24,165.18,168.92,165.18,1670000.0,0.0118,ACN
2019-03-22,165.24,167.8,168.42,165.11,1600000.0,-0.0178,ACN
2019-03-25,165.08,164.98,165.47,164.0,1770000.0,-0.001,ACN
2019-03-26,166.94,166.48,167.6,165.94,1780000.0,0.0113,ACN
2019-03-27,166.47,167.0,167.8,165.37,2380000.0,-0.0028000000000000004,ACN
2019-03-28,175.12,170.92,177.49,170.48,5400000.0,0.052000000000000005,ACN
2019-03-29,176.02,175.3,176.97,174.95,2770000.0,0.0051,ACN
2019-04-01,176.32,175.5,176.52,174.78,2980000.0,0.0017000000000000001,ACN
2019-04-02,175.37,175.83,176.55,174.56,1920000.0,-0.0054,ACN
2019-04-03,177.19,175.9,177.39,175.48,2480000.0,0.0104,ACN
2019-04-04,177.16,177.19,177.44,175.86,2270000.0,-0.0002,ACN
2019-04-05,178.15,177.44,178.42,177.04,1860000.0,0.005600000000000001,ACN
2019-04-08,178.91,177.67,179.07,177.37,1370000.0,0.0043,ACN
2019-04-09,177.73,177.75,178.47,177.28,1810000.0,-0.0066,ACN
2019-04-10,177.0,176.8,177.75,176.1,1580000.0,-0.0040999999999999995,ACN
2019-04-11,178.36,177.18,178.47,176.9,1420000.0,0.0077,ACN
2019-04-12,178.64,178.5,179.36,177.8,2660000.0,0.0016,ACN
2019-04-15,179.3,178.41,179.63,177.94,1620000.0,0.0037,ACN
2019-04-16,179.06,179.8,179.9,178.26,1620000.0,-0.0013,ACN
2019-04-17,178.95,179.58,180.0,178.9,1640000.0,-0.0006,ACN
2019-04-18,178.61,178.72,179.0,177.39,1320000.0,-0.0019,ACN
2019-04-22,178.07,177.25,178.25,177.02,1390000.0,-0.003,ACN
2019-04-23,180.48,178.2,180.55,177.96,1790000.0,0.013500000000000002,ACN
2019-04-24,180.81,180.86,181.41,180.27,1460000.0,0.0018,ACN
2019-04-25,179.95,180.58,180.58,178.61,1040000.0,-0.0048,ACN
2019-04-26,180.83,180.12,180.85,179.09,1010000.0,0.0049,ACN
2019-04-29,181.21,180.78,181.72,180.64,1110000.0,0.0021,ACN
2019-04-30,182.67,181.58,182.83,181.17,1540000.0,0.008100000000000001,ACN
2019-05-01,181.31,183.2,183.35,181.29,1240000.0,-0.0074,ACN
2019-05-02,179.39,181.0,182.33,178.49,1890000.0,-0.0106,ACN
2019-05-03,176.98,177.03,177.96,176.52,2680000.0,-0.0134,ACN
2019-05-06,176.26,173.83,176.87,172.89,1630000.0,-0.0040999999999999995,ACN
2019-05-07,173.94,174.92,175.15,172.36,2310000.0,-0.0132,ACN
2019-05-08,173.82,174.07,175.25,173.16,1980000.0,-0.0007000000000000001,ACN
2019-05-09,174.46,172.1,174.58,171.39,2040000.0,0.0037,ACN
2019-05-10,174.3,173.72,174.97,170.67,2140000.0,-0.0009,ACN
2019-05-13,171.02,171.39,172.0,170.35,1850000.0,-0.018799999999999997,ACN
2019-05-14,173.61,171.91,174.77,171.91,2180000.0,0.0151,ACN
2019-05-15,175.4,172.21,176.14,172.18,2060000.0,0.0103,ACN
2019-05-16,178.17,176.27,179.75,176.11,2230000.0,0.0158,ACN
2019-05-17,178.33,176.39,179.19,176.39,1550000.0,0.0009,ACN
2019-05-20,178.54,176.98,179.47,176.44,1570000.0,0.0012,ACN
2019-05-21,179.57,179.61,180.0,178.81,1220000.0,0.0058,ACN
2019-05-22,180.39,179.32,181.38,179.19,1210000.0,0.0046,ACN
2019-05-23,178.27,178.94,178.94,176.44,1250000.0,-0.0118,ACN
2019-05-24,178.81,179.56,180.33,178.64,1290000.0,0.003,ACN
2019-05-28,178.39,179.26,180.11,177.8,2340000.0,-0.0023,ACN
2019-05-29,177.61,177.64,178.7,176.61,1550000.0,-0.0044,ACN
2019-05-30,178.82,177.66,179.46,177.66,1050000.0,0.0068000000000000005,ACN
2019-05-31,178.07,177.47,178.63,176.49,1800000.0,-0.0042,ACN
2019-06-03,175.16,177.87,178.36,174.23,1770000.0,-0.0163,ACN
2019-06-04,177.97,177.27,178.02,175.77,2270000.0,0.016,ACN
2019-06-05,179.56,179.42,180.35,178.39,1490000.0,0.0089,ACN
2019-06-06,180.4,180.0,180.98,179.33,1740000.0,0.004699999999999999,ACN
2019-06-07,182.92,181.63,184.23,181.27,1970000.0,0.013999999999999999,ACN
2019-06-10,184.44,184.33,185.27,183.73,1520000.0,0.0083,ACN
2019-06-11,183.37,185.76,186.68,183.07,1420000.0,-0.0058,ACN
2019-06-12,184.59,183.62,185.07,183.22,1400000.0,0.0067,ACN
2019-06-13,184.95,185.87,186.1,184.24,1320000.0,0.002,ACN
2019-06-14,184.97,184.66,185.83,184.14,1860000.0,0.0001,ACN
2019-06-17,183.9,185.0,185.33,183.78,1180000.0,-0.0058,ACN
2019-06-18,184.5,184.99,185.67,184.29,1970000.0,0.0033,ACN
2019-06-19,183.95,184.73,185.38,183.51,2020000.0,-0.003,ACN
2019-06-20,186.52,184.79,186.96,184.48,2120000.0,0.013999999999999999,ACN
2019-06-21,185.56,187.1,187.31,185.19,3310000.0,-0.0051,ACN
2019-06-24,186.11,186.07,187.15,185.58,1700000.0,0.003,ACN
2019-06-25,184.9,186.52,186.66,184.48,1860000.0,-0.006500000000000001,ACN
2019-06-26,183.31,185.63,185.93,183.31,2400000.0,-0.0086,ACN
2019-06-27,183.0,178.8,183.11,177.99,3430000.0,-0.0017000000000000001,ACN
2019-06-28,184.77,184.23,185.5,182.87,2940000.0,0.0097,ACN
2019-07-01,186.87,184.83,186.96,184.43,2400000.0,0.011399999999999999,ACN
2019-07-02,188.6,186.91,188.74,186.24,2120000.0,0.009300000000000001,ACN
2019-07-03,190.97,189.33,190.97,188.1,1110000.0,0.0126,ACN
2019-07-05,191.39,189.92,191.74,188.25,2110000.0,0.0022,ACN
2019-07-08,190.31,191.06,191.14,189.86,1880000.0,-0.005600000000000001,ACN
2019-07-09,191.09,189.07,191.15,189.07,1730000.0,0.0040999999999999995,ACN
2019-07-10,191.71,191.51,192.09,190.98,1580000.0,0.0032,ACN
2019-07-11,194.67,192.49,194.67,192.25,1920000.0,0.0154,ACN
2019-07-12,196.21,195.0,196.23,193.82,2060000.0,0.0079,ACN
2019-07-15,195.32,196.22,196.36,195.08,1270000.0,-0.0045000000000000005,ACN
2019-07-16,194.25,195.15,195.6,193.38,1460000.0,-0.0055000000000000005,ACN
2019-07-17,193.81,194.84,195.11,193.54,1560000.0,-0.0023,ACN
2019-07-18,194.82,193.69,195.64,193.19,1560000.0,0.0052,ACN
2019-07-19,193.93,194.83,195.96,193.86,1580000.0,-0.0046,ACN
2019-07-22,194.44,194.65,195.4,194.31,1090000.0,0.0026,ACN
2019-07-23,194.46,195.32,195.5,193.0,1110000.0,0.0001,ACN
2019-07-24,194.47,194.0,194.55,192.88,1250000.0,0.0001,ACN
2019-07-25,194.97,195.01,195.6,193.69,1530000.0,0.0026,ACN
2019-07-26,196.93,195.1,197.03,194.58,1260000.0,0.0101,ACN
2019-07-29,197.35,197.0,197.47,196.2,1320000.0,0.0021,ACN
2019-07-30,195.65,196.37,197.23,195.35,1140000.0,-0.0086,ACN
2019-07-31,192.58,196.06,196.39,190.51,1570000.0,-0.015700000000000002,ACN
2019-08-01,194.16,193.33,197.22,193.23,1840000.0,0.008199999999999999,ACN
2019-08-02,193.01,194.47,194.47,190.5,1830000.0,-0.0059,ACN
2019-08-05,185.55,189.58,191.0,184.23,2420000.0,-0.0387,ACN
2019-08-06,188.81,186.67,189.56,186.51,2060000.0,0.0176,ACN
2019-08-07,188.87,187.21,189.36,184.4,2500000.0,0.0003,ACN
2019-08-08,194.18,190.0,194.28,189.38,1800000.0,0.0281,ACN
2019-08-09,191.48,193.61,193.68,190.21,1830000.0,-0.0139,ACN
2019-08-12,190.0,191.48,191.88,189.32,1600000.0,-0.0077,ACN
2019-08-13,192.88,188.76,193.02,188.76,2140000.0,0.0152,ACN
2019-08-14,186.97,190.4,191.39,186.81,2320000.0,-0.030600000000000002,ACN
2019-08-15,189.56,187.35,190.23,186.7,1930000.0,0.0139,ACN
2019-08-16,193.22,191.12,193.66,190.47,2530000.0,0.019299999999999998,ACN
2019-08-19,195.18,195.0,196.29,194.52,1890000.0,0.0101,ACN
2019-08-20,194.2,195.11,195.98,193.12,1420000.0,-0.005,ACN
2019-08-21,195.73,195.69,196.84,195.07,1040000.0,0.0079,ACN
2019-08-22,196.34,196.46,196.97,194.27,1160000.0,0.0031,ACN
2019-08-23,192.81,195.0,197.93,191.57,2290000.0,-0.018000000000000002,ACN
2019-08-26,195.47,194.34,195.47,193.47,1640000.0,0.0138,ACN
2019-08-27,197.16,196.02,197.4,195.24,1630000.0,0.0086,ACN
2019-08-28,196.84,196.89,197.53,194.57,1330000.0,-0.0016,ACN
2019-08-29,198.74,198.0,199.91,197.44,1490000.0,0.0097,ACN
2019-08-30,198.17,200.0,200.68,196.77,2180000.0,-0.0029,ACN
2019-09-03,195.75,196.36,197.76,195.44,1700000.0,-0.012199999999999999,ACN
2019-09-04,197.71,197.83,198.36,197.37,1250000.0,0.01,ACN
2019-09-05,199.49,199.8,199.8,198.45,2220000.0,0.009000000000000001,ACN
2019-09-06,201.12,200.0,202.8,199.04,2180000.0,0.008199999999999999,ACN
2019-09-09,194.83,200.97,201.12,192.84,2700000.0,-0.0313,ACN
2019-09-10,189.66,192.98,193.54,187.89,3630000.0,-0.0265,ACN
2019-09-11,191.37,190.0,192.47,189.24,2430000.0,0.009000000000000001,ACN
2019-09-12,195.52,194.7,196.23,191.93,2120000.0,0.0217,ACN
2019-09-13,194.62,196.0,196.0,193.96,1590000.0,-0.0046,ACN
2019-09-16,194.16,193.37,195.22,193.01,1360000.0,-0.0024,ACN
2019-09-17,194.95,193.36,195.79,193.36,1470000.0,0.0040999999999999995,ACN
2019-09-18,194.13,194.18,194.59,191.54,1900000.0,-0.0042,ACN
2019-09-19,194.67,194.48,196.13,194.22,1580000.0,0.0028000000000000004,ACN
2019-09-20,193.09,195.05,196.23,192.45,2650000.0,-0.008100000000000001,ACN
2019-09-23,192.84,192.33,193.94,192.01,1670000.0,-0.0013,ACN
2019-09-24,190.14,194.44,195.87,189.78,2960000.0,-0.013999999999999999,ACN
2019-09-25,190.87,191.6,192.0,188.71,2840000.0,0.0038,ACN
2019-09-26,192.12,188.06,193.34,187.28,3730000.0,0.006500000000000001,ACN
2019-09-27,191.38,193.56,193.58,190.39,2009999.9999999998,-0.0039000000000000003,ACN
2019-09-30,192.35,191.49,193.35,191.41,2029999.9999999998,0.0051,ACN
2019-10-01,189.62,192.6,193.37,189.41,2069999.9999999998,-0.014199999999999999,ACN
2019-10-02,184.85,188.34,188.65,182.89,2950000.0,-0.0252,ACN
2019-10-03,185.81,185.32,186.09,182.85,2230000.0,0.0052,ACN
2019-10-04,189.64,186.81,189.82,186.1,1580000.0,0.0206,ACN
2019-10-07,186.81,188.29,188.7,186.79,1650000.0,-0.0149,ACN
2019-10-08,182.2,185.41,185.72,182.0,2280000.0,-0.024700000000000003,ACN
2019-10-09,184.34,183.79,185.29,183.22,1800000.0,0.011699999999999999,ACN
2019-10-10,183.83,183.83,184.87,182.6,2150000.0,-0.0028000000000000004,ACN
2019-10-11,184.97,185.71,187.71,184.74,2390000.0,0.0062,ACN
2019-10-14,185.5,185.36,186.33,184.22,1350000.0,0.0029,ACN
2019-10-15,187.0,185.82,187.38,185.56,1470000.0,0.008100000000000001,ACN
2019-10-16,186.57,184.59,186.99,184.16,1930000.0,-0.0023,ACN
2019-10-17,186.04,186.96,187.33,185.16,1490000.0,-0.0028000000000000004,ACN
2019-10-18,187.08,186.87,188.13,186.61,2900000.0,0.005600000000000001,ACN
2019-10-21,187.34,186.95,187.53,185.39,1350000.0,0.0014000000000000002,ACN
2019-10-22,182.72,187.27,188.11,182.34,1770000.0,-0.024700000000000003,ACN
2019-10-23,184.07,182.39,184.84,181.97,2280000.0,0.0074,ACN
2019-10-24,185.0,185.05,187.01,184.65,2020000.0,0.0051,ACN
2019-10-25,183.07,184.67,184.83,183.02,1390000.0,-0.0104,ACN
2019-10-28,182.87,184.41,185.93,182.56,1830000.0,-0.0011,ACN
2019-10-29,184.8,182.55,185.75,182.37,1550000.0,0.0106,ACN
2019-10-30,186.58,185.15,187.04,184.29,1240000.0,0.0096,ACN
2019-10-31,185.42,186.16,188.06,184.34,1570000.0,-0.0062,ACN
2019-11-01,188.22,186.7,188.34,186.11,1500000.0,0.0151,ACN
2019-11-04,187.8,188.51,189.17,187.39,1160000.0,-0.0022,ACN
2019-11-05,186.88,188.0,188.0,185.48,1540000.0,-0.0049,ACN
2019-11-06,189.23,186.99,189.27,186.91,1650000.0,0.0126,ACN
2019-11-07,189.09,189.31,190.2,188.66,1680000.0,-0.0007000000000000001,ACN
2019-11-08,189.7,188.66,189.71,188.27,1280000.0,0.0032,ACN
2019-11-11,190.06,188.76,190.46,188.55,1170000.0,0.0019,ACN
2019-11-12,191.43,190.17,191.65,189.87,1520000.0,0.0072,ACN
2019-11-13,194.5,191.15,194.77,190.49,1920000.0,0.016,ACN
2019-11-14,196.25,194.0,196.41,193.83,1670000.0,0.009000000000000001,ACN
2019-11-15,196.81,195.9,197.56,195.81,2430000.0,0.0029,ACN
2019-11-18,198.02,197.43,198.95,196.76,1560000.0,0.0060999999999999995,ACN
2019-11-19,198.34,198.2,198.75,197.39,1340000.0,0.0016,ACN
2019-11-20,197.71,198.73,199.76,196.77,1480000.0,-0.0032,ACN
2019-11-21,196.78,197.42,197.93,196.14,1220000.0,-0.004699999999999999,ACN
2019-11-22,196.66,198.05,198.42,195.1,1120000.0,-0.0006,ACN
2019-11-25,198.36,197.64,198.38,197.4,1950000.0,0.0086,ACN
2019-11-26,200.92,198.36,201.0,197.77,2330000.0,0.0129,ACN
2019-11-27,201.25,200.54,201.36,199.19,1210000.0,0.0016,ACN
2019-11-29,201.16,201.24,201.66,200.0,750580.0,-0.0004,ACN
2019-12-02,199.59,201.44,201.69,198.05,1260000.0,-0.0078000000000000005,ACN
2019-12-03,198.75,197.54,199.29,196.47,1540000.0,-0.0042,ACN
2019-12-04,199.58,199.76,200.39,199.24,1220000.0,0.0042,ACN
2019-12-05,199.85,200.0,200.03,198.88,1820000.0,0.0014000000000000002,ACN
2019-12-06,202.55,201.4,202.82,200.49,1350000.0,0.013500000000000002,ACN
2019-12-09,202.03,201.77,202.88,201.44,2000000.0,-0.0026,ACN
2019-12-10,201.88,202.03,202.26,200.87,1400000.0,-0.0007000000000000001,ACN
2019-12-11,202.3,202.13,202.62,200.34,1670000.0,0.0021,ACN
2019-12-12,203.92,202.16,204.43,201.24,1930000.0,0.008,ACN
2019-12-13,206.66,203.06,206.72,203.01,1650000.0,0.0134,ACN
2019-12-16,205.0,207.12,208.66,204.97,2700000.0,-0.008,ACN
2019-12-17,203.4,205.0,205.72,202.95,2380000.0,-0.0078000000000000005,ACN
2019-12-18,205.76,203.6,206.17,203.51,3000000.0,0.0116,ACN
2019-12-19,208.3,202.06,208.3,202.06,3940000.0,0.0123,ACN
2019-12-20,211.1,211.11,213.25,209.07,4150000.0000000005,0.0134,ACN
2019-12-23,210.83,210.96,211.29,208.84,2220000.0,-0.0013,ACN
2019-12-24,211.61,210.71,211.67,210.56,998510.0,0.0037,ACN
2019-12-26,212.05,211.61,212.12,211.26,1060000.0,0.0021,ACN
2019-12-27,212.22,212.45,212.63,211.61,1290000.0,0.0008,ACN
2019-12-30,210.64,212.24,212.24,209.05,1190000.0,-0.0074,ACN
2019-12-31,210.57,209.98,211.06,209.44,1370000.0,-0.0003,ACN
2020-01-02,210.15,210.86,211.92,208.81,2220000.0,-0.002,ACN
2020-01-03,209.8,208.5,210.62,207.0,1800000.0,-0.0017000000000000001,ACN
2020-01-06,208.43,208.27,208.79,206.81,2840000.0,-0.006500000000000001,ACN
2020-01-07,203.93,203.2,206.26,203.19,3100000.0,-0.0216,ACN
2020-01-08,204.33,204.0,205.45,203.53,2270000.0,0.002,ACN
2020-01-09,206.15,205.5,207.28,205.16,2910000.0,0.0089,ACN
2020-01-10,207.66,206.93,208.31,206.72,1570000.0,0.0073,ACN
2020-01-13,209.59,207.49,209.84,207.49,2200000.0,0.009300000000000001,ACN
2020-01-14,207.73,209.55,211.0,207.03,2500000.0,-0.0089,ACN
2020-01-15,207.26,208.0,208.44,206.73,1990000.0,-0.0023,ACN
2020-01-16,208.98,208.14,209.09,207.9,2690000.0,0.0083,ACN
2020-01-17,209.2,210.0,210.65,208.35,2580000.0,0.0011,ACN
2020-01-21,209.15,207.5,210.16,207.0,2690000.0,-0.0002,ACN
2020-01-22,209.41,210.2,211.86,209.35,1870000.0,0.0012,ACN
2020-01-23,210.68,209.4,210.81,208.87,2370000.0,0.0060999999999999995,ACN
2020-01-24,208.57,211.0,211.59,208.05,2350000.0,-0.01,ACN
2020-01-27,206.55,205.18,207.84,204.85,1380000.0,-0.0097,ACN
2020-01-28,210.24,207.87,210.96,207.25,1810000.0,0.0179,ACN
2020-01-29,207.96,210.68,211.21,207.79,1490000.0,-0.0108,ACN
2020-01-30,208.37,207.5,208.93,205.2,1580000.0,0.002,ACN
